Event Name,Short Name,Event Description,Event Category,Event Start Date,Event Time Starts,Event End Date,Event Time Ends,Free Event,Accesible Event,Event Website,Event Email,Event Telephone,Location,Latitude,Longitude,Event Attendance,Mean Attendance per Day
Afrowaveto Festival,Afrowave Day 1,Celebration of Afrobeats and Caribbean sounds.,Music Festival,2024-06-15,14:00:00,2024-06-15,11:00:00 PM,Yes,Yes,afrowaveto.ca,info@afrowaveto.ca,+1 416-777-1111,Yonge-Dundas Square,43.6561,-79.3802,15000,15000
Toronto Outdoor Art Fair,TOAF Day 1,Public contemporary art fair at City Hall.,Arts,2024-07-12,10:00:00,2024-07-12,7:00:00 PM,Yes,Yes,toaf.ca,info@toaf.ca,+1 416-646-0190,Nathan Phillips Square,43.6535,-79.3839,155000,51666
Taste of South Asia,South Asia 2024 Day 1,Street festival with focus on food and bazaar.,Festival,2024-08-17,12:00:00,2024-08-17,11:00:00 PM,Yes,Yes,tasteofsouthasia.com,info@southasia.ca,+1 416-888-9999,Gerrard St,43.67,-79.32,220000,110000
Toronto Chinatown Festival,Chinatown Day 1,Dragon dances and Asian street food.,Festival,2024-08-17,12:00:00,2024-08-17,11:00:00 PM,Yes,Yes,chinatownbia.com,info@chinatownbia.com,+1 416-263-1200,Spadina Ave,43.653,-79.398,250000,125000
ActiveTO (Danforth),ActiveTO 2024,Major road closure for cycling and pedestrians.,Sports,2024-06-23,7:00:00,2024-06-23,7:00:00 PM,Yes,Yes,toronto.ca/activeto,activeto@toronto.ca,+1 416-338-0338,Danforth Ave,43.678,-79.345,15000,15000
TIFF (Public Screenings),TIFF Day 3,Public world premiere screenings at Roy Thomson.,Arts / Cinema,2024-09-07,9:00:00,2024-09-07,11:59:00 PM,No,Yes,tiff.net,customerrelations@tiff.net,+1 416-599-2033,King St West,43.6464,-79.3905,450000,40909
TIFF (Public Screenings),TIFF Day 4,Public world premiere screenings at Roy Thomson.,Arts / Cinema,2024-09-08,9:00:00,2024-09-08,11:59:00 PM,No,Yes,tiff.net,customerrelations@tiff.net,+1 416-599-2033,King St West,43.6464,-79.3905,450000,40909
Toronto Rock Game,Rock Lacrosse 2024,Professional indoor lacrosse home game.,Sports,2024-03-23,19:00:00,2024-03-23,9:30:00 PM,No,Yes,torontorock.com,info@torontorock.com,+1 416-596-3075,FirstOntario Centre,43.6435,-79.3791,10000,10000
Raptors Home Game,Raptors 2024 Night,NBA basketball at Scotiabank Arena.,Sports,2024-01-17,19:30:00,2024-01-17,10:00:00 PM,No,Yes,nba.com/raptors,fans@raptors.com,+1 416-815-5500,Scotiabank Arena,43.6435,-79.3791,19800,19800
Maple Leafs Home Game,Leafs 2024 Night,NHL hockey at Scotiabank Arena.,Sports,2024-01-20,19:00:00,2024-01-20,9:30:00 PM,No,Yes,nhl.com/leafs,fans@leafs.com,+1 416-815-5500,Scotiabank Arena,43.6435,-79.3791,19200,19200
Toronto Comic Arts (TCAF),TCAF Day 1,Comic arts and literacy festival.,Arts / Literacy,2024-05-11,9:00:00,2024-05-11,6:00:00 PM,Yes,Yes,torontocomics.com,info@tcaf.ca,+1 416-533-6300,Public Library,43.6718,-79.3867,30000,15000
Art Toronto,Art Toronto Day 1,International contemporary art fair.,Arts / Culture,2024-10-25,12:00:00,2024-10-25,8:00:00 PM,No,Yes,arttoronto.ca,info@arttoronto.ca,+1 416-960-5390,MTCC,43.6444,-79.3854,20000,10000
Olivia Rodrigo: GUTS,Olivia Rodrigo Day 1,Sold-out pop concert at Scotiabank Arena.,Concert,2024-03-29,19:30:00,2024-03-29,11:00:00 PM,No,Yes,scotiabankarena.com,info@scotiabankarena.com,+1 416-815-5500,Scotiabank Arena,43.6435,-79.3791,18000,18000
Olivia Rodrigo: GUTS,Olivia Rodrigo Day 2,Sold-out pop concert at Scotiabank Arena.,Concert,2024-03-30,19:30:00,2024-03-30,11:00:00 PM,No,Yes,scotiabankarena.com,info@scotiabankarena.com,+1 416-815-5500,Scotiabank Arena,43.6435,-79.3791,18000,18000
Toronto Waterfront Festival,Waterfront Fest Day 1,Summer celebration featuring local food and nautical shows.,Festival,2024-09-14,11:00:00,2024-09-14,8:00:00 PM,Yes,Yes,towaterfrontfest.com,info@towaterfrontfest.com,+1 416-644-1744,Sugar Beach,43.6437,-79.3673,100000,50000
Toronto Waterfront Festival,Waterfront Fest Day 2,Summer celebration featuring local food and nautical shows.,Festival,2024-09-15,11:00:00,2024-09-15,6:00:00 PM,Yes,Yes,towaterfrontfest.com,info@towaterfrontfest.com,+1 416-644-1744,Sugar Beach,43.6437,-79.3673,100000,50000
Kensington Market Pedestrian Sunday,Kensington Day 1,Monthly street closure to cars for local arts and food.,Community,2024-05-26,12:00:00,2024-05-26,7:00:00 PM,Yes,Yes,kensingtonmarketbia.com,info@kensingtonmarketbia.com,+1 416-603-5000,Kensington Market,43.6547,-79.4007,30000,30000
Kensington Market Pedestrian Sunday,Kensington Day 2,Monthly street closure to cars for local arts and food.,Community,2024-06-30,12:00:00,2024-06-30,7:00:00 PM,Yes,Yes,kensingtonmarketbia.com,info@kensingtonmarketbia.com,+1 416-603-5000,Kensington Market,43.6547,-79.4007,30000,30000
Cabbagetown Festival,Cabbagetown Day 1,One of the city's oldest neighborhood street festivals.,Community,2024-09-07,11:00:00,2024-09-07,10:00:00 PM,Yes,Yes,cabbagetownfestival.org,info@cabbagetownbia.com,+1 416-921-0857,Parliament St,43.6668,-79.3683,150000,75000
Cabbagetown Festival,Cabbagetown Day 2,One of the city's oldest neighborhood street festivals.,Community,2024-09-08,11:00:00,2024-09-08,7:00:00 PM,Yes,Yes,cabbagetownfestival.org,info@cabbagetownbia.com,+1 416-921-0857,Parliament St,43.6668,-79.3683,150000,75000
The Gem and Mineral Show,Gem Show Day 1,"Canada's largest exhibition of gems, minerals, and fossils",Exhibition,2024-07-19,10:00:00 AM,2024-07-19,20:00:00,No,Yes,crystalmaster.ca,info@gemshow.ca,+1 416-555-8899,Civic Centre,43.7731,-79.2568,20000,6666
The Gem and Mineral Show,Gem Show Day 2,"Canada's largest exhibition of gems, minerals, and fossils",Exhibition,2024-07-20,10:00:00 AM,2024-07-20,20:00:00,No,Yes,crystalmaster.ca,info@gemshow.ca,+1 416-555-8899,Civic Centre,43.7731,-79.2568,20000,6666
The Gem and Mineral Show,Gem Show Day 3,"Canada's largest exhibition of gems, minerals, and fossils",Exhibition,2024-07-21,10:00:00 AM,2024-07-21,17:00:00,No,Yes,crystalmaster.ca,info@gemshow.ca,+1 416-555-8899,Civic Centre,43.7731,-79.2568,20000,6666
Toronto Veg Food Fest,Veg Fest Day 1,North America's largest celebration of all things veg.,Food / Festival,2024-09-20,16:00:00,2024-09-20,9:00:00 PM,Yes,Yes,vegfoodfest.com,info@veg.ca,+1 416-544-9800,Harbourfront Centre,43.6384,-79.382,40000,13333
Toronto Veg Food Fest,Veg Fest Day 2,North America's largest celebration of all things veg.,Food / Festival,2024-09-21,11:00:00,2024-09-21,9:00:00 PM,Yes,Yes,vegfoodfest.com,info@veg.ca,+1 416-544-9800,Harbourfront Centre,43.6384,-79.382,40000,13333
Vegandale Festival,Vegandale Day 1,"Large-scale vegan food, drinks, and music event.",Food / Festival,2024-09-07,11:00:00,2024-09-07,7:00:00 PM,No,Yes,vegandalefest.com,info@vegandalefest.com,+1 647-930-4100,Garrison Common,43.6366,-79.4124,30000,30000
The Word On The Street,Word Street Day 1,Annual book and magazine festival with local authors.,Arts / Literacy,2024-09-28,10:00:00,2024-09-28,6:00:00 PM,Yes,Yes,thewordonthestreet.ca,info@twots.ca,+1 416-504-7241,Queen's Park,43.6635,-79.3924,200000,100000
The Word On The Street,Word Street Day 2,Annual book and magazine festival with local authors.,Arts / Literacy,2024-09-29,10:00:00,2024-09-29,6:00:00 PM,Yes,Yes,thewordonthestreet.ca,info@twots.ca,+1 416-504-7241,Queen's Park,43.6635,-79.3924,200000,100000
Toronto After Dark Film Fest,After Dark Day 1,"Horro, sci-fi, and action film festival.",Arts / Cinema,2024-10-16,18:00:00,2024-10-16,11:59:00 PM,No,Yes,torontoafterdark.com,info@torontoafterdark.com,+1 416-555-6677,Scotiabank Theatre,43.6489,-79.3914,10000,1111
Indie88's Birthday Bash,Indie88 Bash 2024,Celebrating local alternative radio with live bands.,Concert,2023-09-13,19:00:00,2023-09-14,1:00:00 AM,No,Yes,indie88.com,info@indie88.com,+1 416-588-0881,History Venue,43.6664,-79.3131,2500,2500
Kensington Winter Solstice,Solstice Day 1,Neighborhood parade with lanterns and fire performances.,Community / Parade,2024-12-21,18:00:00,2024-12-21,9:00:00 PM,Yes,Yes,redpepperspectacle.com,info@redpepper.ca,+1 416-504-6912,Kensington Market,43.6547,-79.4007,10000,10000
Toronto Christmas Pet Show,Pet Show Day 1,Large consumer show for pet lovers and industry.,Exhibition,2024-11-23,10:00:00,2024-11-23,6:00:00 PM,No,Yes,torontochristmaspetshow.ca,info@petshow.ca,+1 905-659-3113,International Centre,43.699,-79.6367,25000,12500
Toronto Christmas Pet Show,Pet Show Day 2,Large consumer show for pet lovers and industry.,Exhibition,2024-11-24,10:00:00,2024-11-24,5:00:00 PM,No,Yes,torontochristmaspetshow.ca,info@petshow.ca,+1 905-659-3113,International Centre,43.699,-79.6367,25000,12500
Portugal Day Parade,Portugal Day 2024,Large parade celebrating Portuguese heritage.,Parade / Culture,2024-06-08,11:00:00,2024-06-08,3:00:00 PM,Yes,Yes,acap.ca,info@acap.ca,+1 416-555-3344,Dundas St West,43.6496,-79.4316,150000,150000
India Day Parade,India Day 2024,Celebrating Indian Independence Day with a parade.,Parade / Culture,2024-08-18,12:00:00,2024-08-18,5:00:00 PM,Yes,Yes,panoramicindia.org,info@panoramicindia.org,+1 416-555-0099,Nathan Phillips Square,43.6535,-79.3839,50000,50000
Toronto Reel Asian Film Fest,Reel Asian Day 1,Contemporary Asian cinema showcase.,Arts / Cinema,2024-11-13,18:00:00,2024-11-13,10:00:00 PM,No,Yes,reelasian.com,info@reelasian.com,+1 416-703-9333,Various,43.648,-79.395,20000,2000
ActiveTO Lakeshore,ActiveTO Day 1,Massive road closure on Lakeshore Blvd for cyclists.,Sports / Outdoor,2024-06-15,7:00:00,2024-06-15,7:00:00 PM,Yes,Yes,toronto.ca/activeto,activeto@toronto.ca,+1 416-338-0338,Lakeshore Blvd West,43.6333,-79.414,45000,22500
ActiveTO Lakeshore,ActiveTO Day 2,Massive road closure on Lakeshore Blvd for cyclists.,Sports / Outdoor,2024-06-16,7:00:00,2024-06-16,7:00:00 PM,Yes,Yes,toronto.ca/activeto,activeto@toronto.ca,+1 416-338-0338,Lakeshore Blvd West,43.6333,-79.414,45000,22500
Blue Jays vs Yankees,Jays Bike Day,High-attendance MLB game with heavy Bike Share use.,Sports,2024-06-28,19:07:00,2024-06-28,10:30:00 PM,No,Yes,mlb.com/bluejays,fanfeedback@bluejays.com,+1 416-341-1000,Rogers Centre,43.6414,-79.3894,41000,41000
Ride for Heart,Ride for Heart Day 1,Massive charity ride on closed Gardiner Expressway.,Sports / Charity,2024-06-02,6:00:00,2024-06-02,2:00:00 PM,No,Yes,rideforheart.ca,info@heartandstroke.ca,+1 888-473-4636,Gardiner Expressway,43.6391,-79.3837,15000,15000
Argonauts Home Opener,Argos Day 1,CFL opening game at BMO Field near cycling paths.,Sports,2024-06-09,19:00:00,2024-06-09,10:00:00 PM,No,Yes,argonauts.ca,info@mlse.com,+1 416-815-5500,BMO Field,43.6328,-79.4186,15000,15000
Toronto Triathlon Festival,Triathlon Day 1,Major city triathlon using Lakeshore bike paths.,Sports,2024-07-14,7:00:00,2024-07-14,2:00:00 PM,No,Yes,torontotriathlonfestival.com,info@torontotri.com,+1 416-555-4433,Ontario Place,43.6285,-79.4154,5000,5000
Beaches Jazz Festival,Beaches Jazz Day 1,Street festival accessible via Martin Goodman Trail.,Music Festival,2024-07-25,18:00:00,2024-07-25,11:00:00 PM,Yes,Yes,beachesjazz.com,info@beachesjazz.com,+1 416-698-2152,Queen St East,43.6695,-79.2985,800000,26666
Beaches Jazz Festival,Beaches Jazz Day 2,Street festival accessible via Martin Goodman Trail.,Music Festival,2024-07-26,18:00:00,2024-07-26,11:00:00 PM,Yes,Yes,beachesjazz.com,info@beachesjazz.com,+1 416-698-2152,Queen St East,43.6695,-79.2985,800000,26666
Beaches Jazz Festival,Beaches Jazz Day 3,Street festival accessible via Martin Goodman Trail.,Music Festival,2024-07-27,11:00:00,2024-07-27,11:00:00 PM,Yes,Yes,beachesjazz.com,info@beachesjazz.com,+1 416-698-2152,Queen St East,43.6695,-79.2985,800000,26666
Woodbine Beach Fireworks,Victoria Day Night,Massive fireworks display with peak bike usage.,Holiday / Festival,2024-05-20,19:00:00,2024-05-20,10:30:00 PM,Yes,Yes,toronto.ca,spev@toronto.ca,+1 416-338-0338,Woodbine Beach,43.6631,-79.305,50000,50000
Toronto Wolfpack Game,Wolfpack Return,Rugby match at Lamport Stadium (Bike Share central).,Sports,2024-05-25,15:00:00,2024-05-25,5:00:00 PM,No,Yes,torontowolfpack.com,info@wolfpack.com,+1 416-555-3322,Lamport Stadium,43.6388,-79.4243,8000,8000
CNE Opening Day,CNE Bike Peak,Huge demand for Bike Share at Exhibition stations.,Fair,2024-08-16,10:00:00,2024-08-16,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1600000,88888
Toronto Waterfront Night Market,WNM Bike Access,Heavy evening cycling traffic to Cherry St area.,Food / Festival,2024-08-09,18:00:00,2024-08-09,11:59:00 PM,No,Yes,waterfrontnightmarket.com,info@wnm.ca,+1 647-812-7065,Ontario Place,43.6285,-79.4154,120000,40000
